custid,region,townsize,gender,age,agecat,birthmonth,ed,edcat,jobcat,union,employ,empcat,retire,income,lninc,inccat,debtinc,creddebt,lncreddebt,othdebt,lnothdebt,default,jobsat,marital,spoused,spousedcat,reside,pets,pets_cats,pets_dogs,pets_birds,pets_reptiles,pets_small,pets_saltfish,pets_freshfish,homeown,hometype,address,addresscat,cars,carown,cartype,carvalue,carcatvalue,carbought,carbuy,commute,commutecat,commutetime,commutecar,commutemotorcycle,commutecarpool,commutebus,commuterail,commutepublic,commutebike,commutewalk,commutenonmotor,telecommute,reason,polview,polparty,polcontrib,vote,card,cardtype,cardbenefit,cardfee,cardtenure,cardtenurecat,card2,card2type,card2benefit,card2fee,card2tenure,card2tenurecat,carditems,cardspent,card2items,card2spent,active,bfast,tenure,churn,longmon,lnlongmon,longten,lnlongten,tollfree,tollmon,lntollmon,tollten,lntollten,equip,equipmon,lnequipmon,equipten,lnequipten,callcard,cardmon,lncardmon,cardten,lncardten,wireless,wiremon,lnwiremon,wireten,lnwireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,owntv,hourstv,ownvcr,owndvd,owncd,ownpda,ownpc,ownipod,owngame,ownfax,news,response_01,response_02,response_03
3964-QJWTRG-NPN,1.00,2.00,1.00,20.00,2.00,September,15.00,3.00,1.00,1.00,0.00,1.00,0.00,31.00,3.43,2.00,11.10,1.20,0.18,2.24,0.81,1.00,1.00,0.00,-1.00,-1.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,1.00,2.00,1.00,0.00,14.30,1.00,0.00,0.00,8.00,4.00,22.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,9.00,6.00,1.00,0.00,1.00,3.00,1.00,1.00,0.00,2.00,2.00,5.00,3.00,1.00,0.00,3.00,2.00,5.00,81.66,4.00,67.80,0.00,3.00,5.00,1.00,6.50,1.87,34.40,3.54,1.00,29.00,3.37,161.05,5.08,1.00,29.50,3.38,126.10,4.84,1.00,14.25,2.66,60.00,4.09,0.00,0.00,#NULL!,0.00,#NULL!,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,13.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00
0648-AIPJSP-UVM,5.00,5.00,0.00,22.00,2.00,May,17.00,4.00,2.00,0.00,0.00,1.00,0.00,15.00,2.71,1.00,18.60,1.22,0.20,1.57,0.45,1.00,1.00,0.00,-1.00,-1.00,2.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,1.00,3.00,2.00,1.00,2.00,1.00,1.00,6.80,1.00,0.00,0.00,1.00,1.00,29.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,9.00,4.00,1.00,0.00,0.00,2.00,4.00,1.00,0.00,4.00,2.00,4.00,1.00,3.00,0.00,4.00,2.00,5.00,42.60,2.00,34.94,1.00,1.00,39.00,0.00,8.90,2.19,330.60,5.80,0.00,0.00,#NULL!,0.00,#NULL!,1.00,54.85,4.00,1975.00,7.59,1.00,16.00,2.77,610.00,6.41,1.00,45.65,3.82,1683.55,7.43,1.00,1.00,1.00,4.00,1.00,0.00,1.00,0.00,1.00,1.00,18.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00
5195-TLUDJE-HVO,3.00,4.00,1.00,67.00,6.00,June,14.00,2.00,2.00,0.00,16.00,5.00,0.00,35.00,3.56,2.00,9.90,0.93,-0.07,2.54,0.93,0.00,4.00,1.00,13.00,2.00,3.00,3.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,30.00,5.00,3.00,1.00,1.00,18.80,1.00,0.00,1.00,4.00,3.00,24.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,5.00,1.00,0.00,0.00,2.00,1.00,4.00,0.00,35.00,5.00,4.00,1.00,3.00,0.00,25.00,5.00,9.00,184.22,7.00,175.75,0.00,3.00,65.00,0.00,28.40,3.35,1858.35,7.53,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,1.00,23.00,3.14,1410.00,7.25,0.00,0.00,#NULL!,0.00,#NULL!,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,21.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
4459-VLPQUH-3OL,4.00,3.00,0.00,23.00,2.00,May,16.00,3.00,2.00,0.00,0.00,1.00,0.00,20.00,3.00,1.00,5.70,0.02,-3.78,1.12,0.11,1.00,2.00,1.00,18.00,4.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,3.00,3.00,2.00,3.00,1.00,1.00,8.70,1.00,0.00,1.00,1.00,1.00,38.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,3.00,0.00,0.00,0.00,2.00,1.00,4.00,0.00,5.00,2.00,3.00,2.00,4.00,0.00,5.00,2.00,17.00,340.99,1.00,18.42,1.00,1.00,36.00,0.00,6.00,1.79,199.45,5.30,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,1.00,21.00,3.04,685.00,6.53,0.00,0.00,#NULL!,0.00,#NULL!,1.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,1.00,1.00,26.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00
8158-SMTQFB-CNO,2.00,2.00,0.00,26.00,3.00,July,16.00,3.00,2.00,0.00,1.00,1.00,0.00,23.00,3.14,1.00,1.70,0.21,-1.54,0.18,-1.74,0.00,1.00,1.00,13.00,2.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,3.00,2.00,1.00,0.00,1.00,10.60,1.00,0.00,1.00,6.00,3.00,32.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,9.00,4.00,0.00,0.00,0.00,4.00,2.00,1.00,0.00,8.00,3.00,1.00,3.00,2.00,0.00,9.00,3.00,8.00,255.10,7.00,252.73,1.00,3.00,21.00,0.00,3.05,1.12,74.10,4.31,1.00,16.50,2.80,387.70,5.96,0.00,0.00,#NULL!,0.00,#NULL!,1.00,17.25,2.85,360.00,5.89,1.00,19.05,2.95,410.80,6.02,0.00,1.00,0.00,3.00,1.00,1.00,1.00,1.00,0.00,1.00,27.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
9662-FUSYIM-1IV,4.00,4.00,0.00,64.00,5.00,August,17.00,4.00,3.00,0.00,22.00,5.00,0.00,107.00,4.67,4.00,5.60,1.06,0.06,4.93,1.60,0.00,2.00,0.00,-1.00,-1.00,1.00,11.00,1.00,1.00,0.00,0.00,2.00,0.00,7.00,1.00,1.00,31.00,5.00,0.00,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,8.00,4.00,23.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,9.00,4.00,0.00,0.00,0.00,2.00,4.00,1.00,1.00,18.00,5.00,3.00,3.00,2.00,1.00,9.00,3.00,11.00,228.27,0.00,0.00,0.00,3.00,28.00,0.00,8.10,2.09,264.90,5.58,1.00,26.75,3.29,726.60,6.59,1.00,35.50,3.57,970.95,6.88,1.00,28.25,3.34,765.00,6.64,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,21.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
7432-QKQFJJ-K72,2.00,5.00,1.00,52.00,5.00,July,14.00,2.00,1.00,0.00,10.00,3.00,0.00,77.00,4.34,4.00,1.90,0.50,-0.69,0.96,-0.04,0.00,2.00,0.00,-1.00,-1.00,1.00,2.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,21.00,4.00,2.00,1.00,0.00,25.60,2.00,1.00,0.00,4.00,3.00,32.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,9.00,4.00,0.00,0.00,0.00,5.00,3.00,1.00,1.00,3.00,2.00,2.00,3.00,4.00,0.00,2.00,2.00,20.00,822.32,5.00,130.14,0.00,2.00,15.00,0.00,3.80,1.34,44.80,3.80,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,19.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
8959-RZWRHU-ST8,3.00,4.00,1.00,44.00,4.00,October,16.00,3.00,1.00,0.00,11.00,4.00,0.00,97.00,4.57,4.00,14.40,5.95,1.78,8.02,2.08,0.00,5.00,1.00,15.00,3.00,2.00,10.00,0.00,2.00,0.00,0.00,0.00,0.00,8.00,1.00,3.00,20.00,4.00,1.00,1.00,0.00,55.50,3.00,0.00,1.00,5.00,3.00,31.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,6.00,0.00,0.00,1.00,1.00,1.00,4.00,0.00,25.00,5.00,3.00,1.00,4.00,0.00,20.00,5.00,6.00,592.70,7.00,712.10,0.00,3.00,46.00,0.00,14.85,2.70,612.70,6.42,1.00,24.00,3.18,1110.40,7.01,0.00,0.00,#NULL!,0.00,#NULL!,1.00,14.50,2.67,630.00,6.45,0.00,0.00,#NULL!,0.00,#NULL!,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,13.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
9124-DZALHM-S6I,2.00,3.00,1.00,66.00,6.00,October,12.00,2.00,1.00,0.00,15.00,4.00,1.00,16.00,2.77,1.00,2.60,0.10,-2.28,0.31,-1.16,0.00,2.00,0.00,-1.00,-1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,21.00,4.00,1.00,1.00,1.00,8.60,1.00,0.00,0.00,4.00,3.00,25.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,9.00,3.00,1.00,1.00,1.00,3.00,4.00,2.00,0.00,26.00,5.00,2.00,4.00,3.00,0.00,17.00,5.00,12.00,326.59,6.00,141.24,1.00,3.00,53.00,0.00,21.05,3.05,1074.35,6.98,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,1.00,15.50,2.74,830.00,6.72,0.00,0.00,#NULL!,0.00,#NULL!,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,25.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
3512-MUWBGY-52X,2.00,2.00,0.00,47.00,4.00,July,11.00,1.00,6.00,0.00,19.00,5.00,0.00,84.00,4.43,4.00,4.10,1.77,0.57,1.67,0.52,0.00,4.00,0.00,-1.00,-1.00,2.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,19.00,4.00,4.00,1.00,0.00,41.00,3.00,1.00,0.00,1.00,1.00,29.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,3.00,1.00,1.00,1.00,5.00,4.00,1.00,0.00,2.00,2.00,2.00,2.00,1.00,0.00,2.00,2.00,11.00,199.64,5.00,111.17,1.00,3.00,3.00,1.00,3.65,1.29,20.05,3.00,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,21.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
